release_year,genres,popularity,vote,profit,revenue
1951,Music,1.606314,6.9,4.782608695652174,11000000.0
1951,Romance,4.7897115,6.95,4.209486166007905,20500000.0
1952,Action,8.988455,6.6,9.0,36000000.0
1952,Comedy,36.556954,7.8,2.8337531486146097,7200000.0
1952,Crime,0.225627,6.9,,0.0
1952,Drama,4.607041,6.75,9.0,18000000.0
1952,Music,36.556954,7.8,2.8337531486146097,7200000.0
1952,Romance,22.7727045,7.199999999999999,5.916876574307305,21600000.0
1952,Western,18.644023,7.6,10.95890410958904,8000000.0
1953,Adventure,2.043661,6.7,23.80952380952381,5000000.0
1953,Crime,9.903992,6.7,6.8,8500000.0
1953,Drama,6.949356000000001,6.766666666666667,11.35511209657551,25000000.0
1953,Horror,2.043661,6.7,23.80952380952381,5000000.0
1953,Romance,6.915201,7.2,18.484848484848484,30500000.0
1953,Science Fiction,2.043661,6.7,23.80952380952381,5000000.0
1953,Thriller,9.903992,6.7,6.8,8500000.0
1953,War,6.915201,7.2,18.484848484848484,30500000.0
1954,Action,39.756748,8.2,0.1359205,271841.0
1954,Adventure,9.358197,6.8,5.64,28200000.0
1954,Crime,16.015599,8.0,10.54945054945055,9600000.0
1954,Drama,17.30241375,7.25,4.831342762362637,13267960.25
1954,History,4.079111,6.0,3.0,15000000.0
1954,Science Fiction,9.358197,6.8,5.64,28200000.0
1955,Comedy,6.920873,6.9,5.833333333333333,7000000.0
1955,Drama,3.225189,7.8,,0.0
1955,Mystery,6.920873,6.9,5.833333333333333,7000000.0
1955,Thriller,6.920873,6.9,5.833333333333333,7000000.0
1956,Action,1.444258,5.5,9.0,9000000.0
1956,Adventure,5.224593,6.9,2.311111111111111,10400000.0
1956,Drama,2.6827349999999996,6.266666666666667,4.970370370370371,11266666.666666666
1956,Music,1.444258,5.5,9.0,9000000.0
1956,Romance,1.444258,5.5,9.0,9000000.0
1956,Western,1.444258,5.5,9.0,9000000.0
1957,Drama,41.1845815,7.949999999999999,6.978571428571429,17150000.0
1957,History,23.109959,7.7,11.1,33300000.0
1957,War,23.109959,7.7,11.1,33300000.0
1958,Drama,16.553594,7.6,5.8567746666666665,17570324.0
1958,Romance,16.553594,7.6,5.8567746666666665,17570324.0
1959,Comedy,39.30982,8.0,8.668972844615944,25000000.0
1959,Drama,2.058563,6.4,3.0485714285714285,12500000.0
1959,History,0.835617,5.4,2.44,12200000.0
1959,Romance,20.0727185,6.7,5.5544864223079715,18600000.0
1959,War,0.835617,5.4,2.44,12200000.0
1960,Comedy,22.889294,8.1,8.333333333333334,25000000.0
1960,Drama,40.897375,7.866666666666666,17.151863730170138,22466666.666666668
1960,Horror,93.067866,8.2,39.655591190510414,32000000.0
1960,Romance,22.889294,8.1,8.333333333333334,25000000.0
1960,Thriller,93.067866,8.2,39.655591190510414,32000000.0
1961,Action,2.930058,6.8,2.05,8200000.0
1961,Comedy,3.370225,7.3,1.7241379310344827,5000000.0
1961,Crime,23.431117,7.0,7.276137,43656822.0
1961,Drama,12.141883400000001,7.26,3.6367216528735633,14891364.4
1961,History,13.338539,7.6,3.3333333333333335,10000000.0
1961,Music,23.431117,7.0,7.276137,43656822.0
1961,Romance,2.930058,6.8,2.05,8200000.0
1962,Action,34.213257,7.050000000000001,33.87342105263158,54850000.0
1962,Adventure,45.093939,7.35,33.701600552631575,64797692.5
1962,Crime,22.139842,8.0,6.564923,13129846.0
1962,Drama,26.72831475,7.575,5.2165704999999996,35618807.75
1962,History,30.405654,7.5,4.8381795,60047692.5
1962,Horror,2.407048,4.4,0.0,0.0
1962,Romance,23.962109,7.3,4.625,9250000.0
1962,Science Fiction,2.407048,4.4,0.0,0.0
1962,Thriller,48.901542,6.9,62.73684210526316,59600000.0
1962,War,30.405654,7.5,4.8381795,60047692.5
1962,Western,11.735287,7.4,2.5,8000000.0
1963,Action,16.50299975,6.925,12.605149129380475,39724691.25
1963,Adventure,19.130722,6.76,17.765132875842433,38968647.2
1963,Comedy,6.43114,6.366666666666667,15.480054709737383,34733333.333333336
1963,Crime,14.562991,7.0,6.382978723404255,60000000.0
1963,Drama,14.61402925,7.075,2.451552667264347,25686117.75
1963,History,13.61502325,6.725,10.851552667264347,32586117.75
1963,Romance,5.991598,6.266666666666667,14.113014343582543,38400000.0
1963,Thriller,38.180095,7.35,21.192750125,45321618.0
1963,War,35.061467,7.8,2.93611775,11744471.0
1963,Western,6.82919,7.5,4.0,10000000.0
1964,Action,26.151378,7.2,25.562419296551724,65840531.0
1964,Adventure,47.812466,7.2,49.9524248,124881062.0
1964,Comedy,37.56278733333333,7.566666666666666,14.751247637566138,41337555.666666664
1964,Drama,12.104146,7.116666666666667,2.1812928226729773,15510167.166666666
1964,Family,40.3740695,7.4,10.642454632352942,87171729.0
1964,Fantasy,59.961523,7.4,17.0454545,102272727.0
1964,History,4.229942,6.0,0.25,4750000.0
1964,Music,15.758336,7.35,13.10157381092437,42185199.5
1964,Romance,10.949703999999999,7.25,2.119727382352941,36035365.5
1964,Thriller,26.151378,7.2,25.562419296551724,65840531.0
1964,War,23.2435365,7.6,3.208504674329502,8120136.0
1964,Western,38.771062,7.6,72.5,14500000.0
1965,Action,31.036,6.5,25.671937818181817,141195658.0
1965,Adventure,31.036,6.5,25.671937818181817,141195658.0
1965,Animation,8.701183,7.5,,0.0
1965,Comedy,8.701183,7.5,,0.0
1965,Drama,12.3473138,7.0,11.461697490105323,82709196.4
1965,Family,23.330736,7.45,34.904181219512196,143107143.0
1965,History,3.011205,6.5,0.77366665,15473333.0
1965,Music,37.960289,7.4,34.904181219512196,286214286.0
1965,Romance,25.407571,7.4,22.536561655210644,199036324.5
1965,TV Movie,8.701183,7.5,,0.0
1965,Thriller,19.413949000000002,7.05,12.835968909090909,70597829.0
1965,War,8.172534,6.800000000000001,5.086428019138756,55936618.0
1965,Western,3.490215,6.2,0.003913947368421052,14873.0
1966,Action,2.938973,6.2,3.4285714285714284,12000000.0
1966,Adventure,9.815394,6.1,0.0,0.0
1966,Comedy,9.358747999999999,6.1,0.0,0.0
1966,Crime,6.377183499999999,6.15,1.7142857142857142,6000000.0
1966,Drama,6.240330500000001,6.85,5.3489010989010985,20175000.0
1966,Family,9.815394,6.1,0.0,0.0
1966,History,9.541688,7.5,7.269230769230769,28350000.0
1966,Music,8.902102,6.1,,0.0
1966,Mystery,5.4319775,6.300000000000001,3.8809523809523805,12500000.0
1966,Science Fiction,9.815394,6.1,0.0,0.0
1966,Thriller,5.4319775,6.300000000000001,3.8809523809523805,12500000.0
1966,Western,88.377076,8.1,5.0,6000000.0
1967,Action,16.920157,6.8,6.51288352631579,57392393.5
1967,Adventure,28.675891,6.5,11.74576705263158,111584787.0
1967,Crime,6.4929305,7.25,2.4982215714285716,8103775.5
1967,Drama,6.4929305,7.25,2.4982215714285716,8103775.5
1967,History,1.296784,6.3,,0.0
1967,Horror,1.296784,6.3,,0.0
1967,Mystery,1.296784,6.3,,0.0
1967,Thriller,16.920157,6.8,6.51288352631579,57392393.5
1968,Adventure,86.201184,7.9,6.542857142857143,68700000.0
1968,Comedy,2.094151,6.2,,0.0
1968,Drama,9.18980125,6.825,5.011300494298245,17903242.25
1968,Family,5.2000745,6.6,3.7402877,18701438.5
1968,Horror,25.923198,7.5,136.79698268092105,31697713.0
1968,Music,8.305998,7.0,3.7402877,37402877.0
1968,Mystery,56.1907755,7.7,8.489463883928572,51047713.0
1968,Romance,0.178689,6.6,0.8575431578947369,814666.0
1968,Science Fiction,33.517210666666664,6.733333333333333,2.559392692843219,24004888.666666668
1968,Western,21.562845666666664,6.733333333333333,2.214255554333715,4913836.0
1969,Action,9.966982999999999,6.525,5.2317997871794875,29913317.75
1969,Adventure,20.130159499999998,7.05,6.356869892980856,41306567.0
1969,Comedy,3.265190333333333,5.666666666666667,91.36131296666667,26226259.333333332
1969,Crime,9.618046999999999,7.133333333333333,17.0514815,34102963.0
1969,Drama,9.222947571428572,6.8,7.01514258,29253245.714285713
1969,Foreign,0.700127,7.3,,0.0
1969,History,24.499996,7.4,17.0514815,102308889.0
1969,Music,4.305839499999999,6.35,2.04196945,25839389.0
1969,Mystery,5.975604,6.1,1.5,6000000.0
1969,Romance,2.1815805,6.6,2.5,10000000.0
1969,Thriller,10.655132,6.633333333333333,7.055730230769231,29324831.0
1969,Western,15.791061999999998,7.066666666666666,6.245899908141084,44875436.0
1970,Action,3.8615985,6.875,0.6566772279709293,9400072.75
1970,Adventure,11.756135333333333,6.6000000000000005,2.497559288601138,16182669.666666666
1970,Comedy,3.0716995,6.275,7.2893093423138495,17477917.5
1970,Documentary,3.409764,7.1,57.508516666666665,34505110.0
1970,Drama,6.632637375,6.6125,4.212512787618761,23688995.125
1970,History,7.686260999999999,6.840000000000001,13.294673706494015,31821080.2
1970,Music,2.1133235,6.0,57.508516666666665,17252555.0
1970,Mystery,24.393296,6.2,6.333239333333333,18999718.0
1970,Romance,0.816883,4.9,,0.0
1970,Science Fiction,24.393296,6.2,6.333239333333333,18999718.0
1970,Thriller,2.552943,5.75,19.138755980861244,20000000.0
1970,War,12.078061333333332,6.966666666666666,3.342251177490027,48086653.666666664
1970,Western,2.676535,6.9,1.3451903794136368,5000000.0
1971,Action,17.26370125,6.15,36.31317435416666,46181802.25
1971,Adventure,34.634181,6.3,16.113825972222223,116019547.0
1971,Comedy,5.941852,6.7,5.916848,11833696.0
1971,Crime,8.0260705,7.35,22.86597611111111,20579378.5
1971,Drama,2.594889333333333,6.0,36.86312333333333,32834776.666666668
1971,Family,23.981601,7.4,1.3333333333333333,4000000.0
1971,Fantasy,23.981601,7.4,1.3333333333333333,4000000.0
1971,Horror,0.074005,7.3,,0.0
1971,Romance,2.594889333333333,6.0,36.86312333333333,32834776.666666668
1971,Science Fiction,15.4172815,6.65,3.4218243076923076,12362734.0
1971,Thriller,21.045756666666666,6.8999999999999995,13.62796289957265,56518289.0
1972,Action,18.828683,6.1,5.705882352941177,9700000.0
1972,Adventure,17.6138425,7.0,0.0,0.0
1972,Comedy,6.5281086666666654,6.633333333333333,254.5040725,8005430.0
1972,Crime,52.81109466666666,7.233333333333333,181.4814672777778,87888803.66666667
1972,Drama,33.710458499999994,7.3999999999999995,14.814800611111112,42944401.833333336
1972,History,1.807571,7.1,,0.0
1972,Horror,4.553644,6.2,500.0,6000000.0
1972,Music,1.807571,7.1,,0.0
1972,Mystery,17.1761065,7.4,3.6,6300000.0
1972,Science Fiction,18.018789333333334,6.7,2.8529411764705883,3233333.3333333335
1972,Thriller,10.219942,7.1,3.6,12600000.0
1973,Action,21.8902605,5.95,14.156911184873948,85311215.5
1973,Adventure,30.465138,6.4,23.111119428571428,161777836.0
1973,Comedy,19.49707666666667,7.266666666666667,72.79123168127218,105987018.66666667
1973,Crime,22.751504500000003,7.550000000000001,17.510575181818183,81308163.5
1973,Drama,28.10344175,7.375,67.59114966720414,185980618.0
1973,Horror,47.584643,7.5,55.163268125,441306145.0
1973,Romance,10.664202,7.0,9.1723645,18344729.0
1973,Science Fiction,11.9897925,6.25,7.1875337205882355,13594662.0
1973,Thriller,39.0248905,6.95,39.137193776785715,301541990.5
1973,Western,11.8112475,7.300000000000001,2.612928533978926,13350000.0
1974,Action,30.214716,6.3,13.938857142857144,97572000.0
1974,Adventure,16.433067,6.199999999999999,13.938857142857144,48786000.0
1974,Comedy,21.11893033333333,7.266666666666667,25.5911477014652,68591111.0
1974,Crime,63.301614,7.9,3.209820807692308,25981420.5
1974,Drama,43.573732,7.566666666666667,2.1398805384615387,17320947.0
1974,Family,2.651418,6.1,,0.0
1974,Horror,29.262427,7.2,363.0470588235294,30859000.0
1974,Mystery,20.810292,7.5,2.7625,4420000.0
1974,Romance,3.3846930000000004,6.5,0.0,0.0
1974,Science Fiction,36.444894,7.7,30.811904642857144,86273333.0
1974,Thriller,30.214716,6.3,13.938857142857144,97572000.0
1974,Western,22.793929,7.2,45.96153846153846,119500000.0
1975,Action,6.473667,5.9,26.666666666666668,8000000.0
1975,Adventure,57.4676555,7.65,39.90432785714286,237841474.0
1975,Comedy,25.909139,6.8,15.86856868888889,18287431.666666668
1975,Drama,78.534456,7.949999999999999,19.072636742424244,64490637.5
1975,Fantasy,64.782984,7.8,12.57237,5028948.0
1975,Horror,50.152327,7.5,67.23628571428571,470654000.0
1975,Romance,29.543331,7.7,1.8181818181818181,20000000.0
1975,Science Fiction,6.473667,5.9,26.666666666666668,8000000.0
1975,Thriller,50.152327,7.5,67.23628571428571,470654000.0
1975,War,29.543331,7.7,1.8181818181818181,20000000.0
1976,Action,7.7340235,6.6,2.7777777777777777,12500000.0
1976,Adventure,7.7340235,6.6,2.7777777777777777,12500000.0
1976,Comedy,6.012808666666667,6.766666666666667,2.4796184571428572,14407764.0
1976,Crime,31.3389415,7.35,12.84522076923077,18081287.0
1976,Drama,37.8694385,7.45,48.40325556545209,42296899.5
1976,Family,6.889633,6.9,1.0092369142857143,35323292.0
1976,Horror,25.939385,7.2,21.75820714285714,60922980.0
1976,Romance,7.7340235,6.6,2.7777777777777777,12500000.0
1976,Science Fiction,12.268143,6.6,2.7777777777777777,25000000.0
1976,Thriller,14.886121500000002,6.95,12.85410357142857,34411490.0
1977,Action,29.965965166666667,6.616666666666667,16.95894862620321,163592780.0
1977,Adventure,33.740114399999996,6.659999999999999,21.198685782754012,196311336.0
1977,Comedy,17.481273333333334,6.8999999999999995,6.2330146323529405,23104821.0
1977,Drama,19.235477625,6.8,145.41182123636364,49973757.5
1977,Fantasy,15.9714705,6.0,351.0981836428571,18874571.0
1977,History,20.256571,6.9,2.3068181818181817,50750000.0
1977,Horror,11.493324333333334,5.8999999999999995,245.39878909523807,18249714.0
1977,Music,4.7834305,6.3,9.136187647058824,15531519.0
1977,Romance,19.884138,6.949999999999999,9.56285625,19125712.5
1977,Science Fiction,35.84954833333333,6.6499999999999995,136.69885013926026,185317773.66666666
1977,Thriller,14.72506525,6.225,3.996860332792208,57046953.75
1977,War,12.043254000000001,6.550000000000001,2.3068181818181817,25375000.0
1978,Action,11.572822200000001,5.9,2.634836472727273,61489605.8
1978,Adventure,14.310461,6.25,2.593851097727273,82124267.75
1978,Comedy,17.332585,7.0,52.22222222222222,141000000.0
1978,Documentary,3.277287,7.9,inf,321952.0
1978,Drama,8.5934022,6.840000000000001,2.166666666666667,10000002.2
1978,Family,2.753313,5.9,0.877043875,21049053.0
1978,Fantasy,25.630197,6.4,3.167776646590909,160633535.5
1978,Horror,13.813234,5.975,121.36376684166667,64471001.75
1978,Music,3.0153,6.9,inf,10685502.5
1978,Romance,27.366079666666668,6.866666666666667,30.302295,60604590.0
1978,Science Fiction,17.940888666666666,5.833333333333333,5.458509418181818,100072672.66666667
1978,Thriller,12.1202764,6.0600000000000005,81.39117789444445,53022801.4
1978,War,12.567419,7.1,2.389666666666667,28615000.0
1979,Action,25.45009457142857,6.014285714285714,53.68483778483576,68976791.85714285
1979,Adventure,18.620837714285717,6.485714285714286,inf,85658091.85714285
1979,Comedy,10.336271,6.3,inf,54206371.0
1979,Crime,19.3956925,6.9,2.6875,21500000.0
1979,Drama,16.821053333333335,6.8,inf,33243117.5
1979,Family,10.088317666666667,6.7,inf,50099514.666666664
1979,Horror,51.400624,6.65,7.0196273181818185,79465900.5
1979,Music,6.080178,7.05,inf,33499162.0
1979,Mystery,24.616634,6.2,3.9714285714285715,139000000.0
1979,Romance,7.000949,6.8,3.154016,29174648.0
1979,Science Fiction,28.764306142857144,6.171428571428572,45.998051763553605,92011685.85714285
1979,Thriller,34.457258,6.42,66.43119673997326,83047980.0
1979,War,49.973462,8.0,2.8400120952380954,89460381.0
1980,Action,32.151586800000004,6.76,9.446271807449495,169514585.4
1980,Adventure,43.87279633333333,6.833333333333333,15.505530728395064,262570604.0
1980,Comedy,21.277434166666666,5.8999999999999995,8.909311194324195,40565795.5
