"행정구역(시군구)별",2024.07,2024.07,2024.07,2024.08,2024.08,2024.08,2024.09,2024.09,2024.09
"행정구역(시군구)별",총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"중구",207543,105029,102514,207362,104914,102448,207268,104873,102395
"남구",304993,155763,149230,304887,155712,149175,304818,155696,149122
"동구",151415,79020,72395,151273,78949,72324,151117,78858,72259
"북구",216859,112435,104424,216662,112315,104347,216645,112318,104327
"울주군",219056,113432,105624,219047,113400,105647,218880,113322,105558
"세종특별자치시",388788,193538,195250,389370,193826,195544,389443,193854,195589
"세종시",388788,193538,195250,389370,193826,195544,389443,193854,195589
"경기도",13669469,6872643,6796826,13675873,6875411,6800462,13680645,6877300,6803345
"수원시",1196671,601857,594814,1196310,601668,594642,1195045,601004,594041
"장안구",275027,138034,136993,275202,138142,137060,275025,138047,136978
"권선구",364670,184234,180436,364354,184100,180254,363741,183799,179942
"팔달구",195393,98315,97078,195249,98214,97035,195000,98068,96932
"영통구",361581,181274,180307,361505,181212,180293,361279,181090,180189
"성남시",916615,453606,463009,915871,453152,462719,914832,452595,462237
"수정구",236915,119955,116960,236654,119785,116869,236258,119586,116672
"중원구",208926,105464,103462,208629,105292,103337,208262,105057,103205
"분당구",470774,228187,242587,470588,228075,242513,470312,227952,242360
"의정부시",460663,226220,234443,460296,226039,234257,460284,226032,234252
"안양시",548005,270324,277681,549531,271029,278502,551228,271875,279353
"만안구",228360,113871,114489,227657,113532,114125,227269,113310,113959
"동안구",319645,156453,163192,321874,157497,164377,323959,158565,165394
"부천시",773689,382151,391538,773040,381786,391254,772450,381471,390979
"원미구",391781,192511,199270,391423,192302,199121,391159,192206,198953
"소사구",228543,112200,116343,228706,112286,116420,228588,112195,116393
"오정구",153365,77440,75925,152911,77198,75713,152703,77070,75633
"광명시",278151,136338,141813,277887,136209,141678,277564,136011,141553
"평택시",594712,312416,282296,595259,312576,282683,596228,313097,283131
"송탄출장소",0,0,0,0,0,0,0,0,0
"안중출장소",0,0,0,0,0,0,0,0,0
"동두천시",87321,43531,43790,87157,43439,43718,87099,43388,43711
"안산시",624788,320093,304695,624005,319701,304304,623256,319308,303948
"상록구",329841,168304,161537,329320,168099,161221,328822,167846,160976
"단원구",294947,151789,143158,294685,151602,143083,294434,151462,142972
"고양시",1071802,522495,549307,1071560,522391,549169,1071434,522277,549157
"덕양구",493550,242422,251128,493454,242355,251099,493647,242412,251235
"일산동구",294352,142778,151574,294457,142866,151591,294403,142853,151550
"일산서구",283900,137295,146605,283649,137170,146479,283384,137012,146372
"과천시",85132,41628,43504,85310,41720,43590,85397,41731,43666
"구리시",186408,92196,94212,186497,92229,94268,186571,92278,94293
"남양주시",733244,363318,369926,733054,363148,369906,732783,363033,369750
"풍양출장소",0,0,0,0,0,0,0,0,0
"오산시",237798,124067,113731,238524,124451,114073,238788,124591,114197
"시흥시",518371,270405,247966,518387,270358,248029,518559,270402,248157
"군포시",258509,128257,130252,258092,128082,130010,257498,127765,129733
"의왕시",155329,76962,78367,155115,76854,78261,154923,76728,78195
"하남시",329997,164124,165873,329732,163971,165761,329693,163954,165739
"용인시",1083456,537346,546110,1084021,537567,546454,1084817,537792,547025
"처인구",269780,138485,131295,270529,138841,131688,272159,139612,132547
