충전소명,주소,ID,충전기 형태,충전기 용량,X,Y
(RS)대구시_진천동 행정복지센터,"대구 달서구 진천로9길 33(진천동, 진천동행정복지센터) 지상1층 주차장",1,3Mode,50,128.522886075,35.812162501
(RS)대구시_지저동,"대구 동구 해동로3길 80(지저동, 지저동주민센터)",1,3Mode,100,128.638282677,35.893396955
(RS)대구시_지산공영주차장,"대구 수성구 용학로 267(지산동, 공영주차장) 지하1층 주차장",2,AC완속(싱글),7,128.637614095,35.820932400
(RS)대구시_지산공영주차장,"대구 수성구 용학로 267(지산동, 공영주차장) 지하1층 주차장",1,3Mode,50,128.637614095,35.820932400
(RS)대구시_지산2동,"대구 수성구 용학로33길 9(지산동, 지산2동 행정복지센터) 실외",1,3Mode,100,128.628022922,35.823134675
(RS)대구시_지산1동행정복지센터,"대구 수성구 지범로21길 16(지산동, 지산1동 행정복지센터) 지상1층 주차장",1,AC완속(싱글),7,128.636953135,35.824893939
(RS)대구시_지능형자동차부품진흥원,대구 달성군 구지면 국가산단서로 201,2,3Mode,50,128.400602785,35.647087788
(RS)대구시_지능형자동차부품진흥원,대구 달성군 구지면 국가산단서로 201,1,3Mode,50,128.400602785,35.647087788
(RS)대구시_중동행정복지센터,"대구 수성구 수성로50길 38(중동, 중동 행정복지센터) 지상1층 주차장",1,AC완속(싱글),7,128.615085794,35.847344476
(RS)대구시_중구청,"대구 중구 국채보상로139길 1(동인동2가, 중구청) 중구청",1,3Mode,50,128.606230566,35.869425611
(RS)대구시_저소득층 밀집지구 지식산업센터,"대구 수성구 알파시티1로 160(대흥동, SW융합테크비즈센터) 지식산업센터",1,3Mode,50,128.682449284,35.835320205
(RS)대구시_장기공영주차장,"대구 달서구 장기로 277(장기동, 장기동행정복지센터) 장기공영주차장",1,3Mode,50,128.530031205,35.843276844
(RS)대구시_이천동행정복지센터,"대구 남구 이천로28길 18(이천동, 이천동 주민센터) 지상1층 주차장",1,AC완속(싱글),7,128.599424096,35.853700399
(RS)대구시_이곡1동 행정복지센터,"대구 달서구 달구벌대로 1309(이곡동, 이곡1동행정복지센터) 지상1층 주차장",1,3Mode,100,128.510658503,35.851649329
(RS)대구시_율하체육공원3주차장,대구광역시 동구 금호강변로 278 (율하동) 지상1층 주차장,1,3Mode,50,128.692839939,35.859948088
(RS)대구시_유천동 행정복지센터,"대구 달서구 조암로 175(유천동, 유천동행정복지센터) 유천동행정복지센터",1,3Mode,50,128.513932313,35.817246679
(RS)대구시_유니버시아드 레포츠센터,"대구 북구 호국로57길 6(서변동, 유니버시아드) 지상1층 주차장",1,3Mode,50,128.597948433,35.928001543
(RS)대구시_유가읍 행정복지센터,"대구 달성군 유가읍 테크노상업로 95(봉리, 유가읍사무소) 유가읍행정복지센터",3,AC완속(싱글),7,128.459815867,35.693886607
(RS)대구시_유가읍 행정복지센터,"대구 달성군 유가읍 테크노상업로 95(봉리, 유가읍사무소) 유가읍행정복지센터",5,AC완속(싱글),7,128.459815867,35.693886607
(RS)대구시_유가읍 행정복지센터,"대구 달성군 유가읍 테크노상업로 95(봉리, 유가읍사무소) 유가읍행정복지센터",4,AC완속(싱글),7,128.459815867,35.693886607
(RS)대구시_유가읍 행정복지센터,"대구 달성군 유가읍 테크노상업로 95(봉리, 유가읍사무소) 유가읍행정복지센터",2,3Mode,50,128.459815867,35.693886607
(RS)대구시_유가읍 행정복지센터,"대구 달성군 유가읍 테크노상업로 95(봉리, 유가읍사무소) 유가읍행정복지센터",1,3Mode,50,128.459815867,35.693886607
(RS)대구시_월촌공원주차장,"대구 달서구 상인로 68-4(상인동, 월촌공원) 지상1층 주차장",1,3Mode,50,128.548990031,35.812748989
(RS)대구시_월촌공원주차장,"대구 달서구 상인로 68-4(상인동, 월촌공원) 지상1층 주차장",2,3Mode,50,128.548990031,35.812748989
(RS)대구시_월성2동행정복지센터,"대구 달서구 월성로 65(월성동, 월성2동행정복지센터) 지상1층 주차장",1,AC완속(싱글),7,128.528276048,35.830947340
(RS)대구시_월성1동행정복지센터,"대구 달서구 조암남로 97(월성동, 월성1동행정복지센터) 지상1층 주차장",1,AC완속(싱글),7,128.522848139,35.819528469
