"동별(1)",동별(2),동별(3),2024 2/4,2024 2/4,2024 2/4,2024 2/4,2024 2/4,2024 2/4,2024 2/4,2024 2/4,2024 2/4,2024 2/4,2024 2/4,2024 2/4
"동별(1)",동별(2),동별(3),세대 (세대),계 (명),계 (명),계 (명),한국인 (명),한국인 (명),한국인 (명),등록외국인 (명),등록외국인 (명),등록외국인 (명),세대당인구 (명),65세이상고령자 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계
"합계",성동구,소계,133233,283853,136993,146860,276597,133939,142658,7256,3054,4202,2.08,50534
"합계",성동구,왕십리2동,7421,16435,7853,8582,16071,7710,8361,364,143,221,2.17,2833
"합계",성동구,마장동,10830,22073,10764,11309,21482,10530,10952,591,234,357,1.98,4273
"합계",성동구,사근동,8350,14133,7034,7099,12086,6308,5778,2047,726,1321,1.45,1567
"합계",성동구,행당1동,6486,14034,6657,7377,13738,6555,7183,296,102,194,2.12,2320
"합계",성동구,행당2동,9218,22850,10655,12195,22756,10612,12144,94,43,51,2.47,4259
"합계",성동구,응봉동,5939,14888,7054,7834,14831,7028,7803,57,26,31,2.50,2680
"합계",성동구,금호1가동,6487,14807,7039,7768,14705,6989,7716,102,50,52,2.27,2913
"합계",성동구,금호4가동,6382,14237,6705,7532,14096,6636,7460,141,69,72,2.21,2717
"합계",성동구,성수1가1동,7474,15659,7783,7876,15361,7628,7733,298,155,143,2.06,2542
"합계",성동구,성수1가2동,5893,12056,5873,6183,11840,5765,6075,216,108,108,2.01,2119
"합계",성동구,성수2가1동,7607,14955,7720,7235,14495,7501,6994,460,219,241,1.91,3123
"합계",성동구,성수2가3동,5174,10172,5085,5087,9919,4964,4955,253,121,132,1.92,1896
"합계",성동구,송정동,5340,10035,5259,4776,9618,5041,4577,417,218,199,1.80,1975
"합계",성동구,용답동,7850,13127,6669,6458,12132,6255,5877,995,414,581,1.55,2362
"합계",성동구,왕십리도선동,12168,26670,12484,14186,26178,12281,13897,492,203,289,2.15,4191
"합계",성동구,금호2.3가동,9851,21996,10444,11552,21812,10364,11448,184,80,104,2.21,4196
"합계",성동구,옥수동,10763,25726,11915,13811,25477,11772,13705,249,143,106,2.37,4568
"합계",광진구,소계,170469,350005,166736,183269,334159,160329,173830,15846,6407,9439,1.96,58307
"합계",광진구,화양동,18241,27646,12404,15242,23201,10930,12271,4445,1474,2971,1.27,2445
"합계",광진구,군자동,11278,21454,10416,11038,18919,9281,9638,2535,1135,1400,1.68,3378
"합계",광진구,중곡1동,8673,15587,7361,8226,15136,7162,7974,451,199,252,1.75,2774
"합계",광진구,중곡2동,10559,20675,9710,10965,20314,9569,10745,361,141,220,1.92,3729
"합계",광진구,중곡3동,8513,15814,7770,8044,15522,7657,7865,292,113,179,1.82,3183
"합계",광진구,중곡4동,13092,27899,13536,14363,27494,13386,14108,405,150,255,2.10,5851
"합계",광진구,능동,6484,11477,5272,6205,11022,5059,5963,455,213,242,1.70,1753
"합계",광진구,구의1동,13151,23739,11233,12506,23036,10950,12086,703,283,420,1.75,3591
"합계",광진구,구의2동,11528,26115,12399,13716,25481,12125,13356,634,274,360,2.21,4917
"합계",광진구,구의3동,12065,28039,13187,14852,27801,13090,14711,238,97,141,2.30,4738
"합계",광진구,광장동,11843,34103,16463,17640,33863,16354,17509,240,109,131,2.86,4290
"합계",광진구,자양1동,12083,22774,11021,11753,21842,10622,11220,932,399,533,1.81,3958
"합계",광진구,자양2동,11006,23960,11585,12375,23625,11446,12179,335,139,196,2.15,4540
"합계",광진구,자양3동,11018,27491,13137,14354,27164,12982,14182,327,155,172,2.47,4830
"합계",광진구,자양4동,10935,23232,11242,11990,19739,9716,10023,3493,1526,1967,2,4330
"합계",동대문구,소계,173903,360066,174065,186001,341345,167147,174198,18721,6918,11803,1.96,68503
"합계",동대문구,전농1동,16574,33757,16711,17046,32959,16408,16551,798,303,495,1.99,6348
"합계",동대문구,전농2동,7505,18252,8623,9629,17806,8453,9353,446,170,276,2.37,4051
"합계",동대문구,답십리1동,12875,28148,13464,14684,27735,13281,14454,413,183,230,2.15,4479
"합계",동대문구,답십리2동,12449,27661,13255,14406,27313,13108,14205,348,147,201,2.19,6120
"합계",동대문구,장안1동,18372,38086,18691,19395,37387,18413,18974,699,278,421,2.03,7322
"합계",동대문구,장안2동,14432,32948,16219,16729,32624,16104,16520,324,115,209,2.26,5909
"합계",동대문구,회기동,6683,13547,6043,7504,10388,4905,5483,3159,1138,2021,1.55,1559
"합계",동대문구,휘경1동,7784,16185,7279,8906,13745,6437,7308,2440,842,1598,1.77,2196
"합계",동대문구,휘경2동,12854,25324,12459,12865,24284,12115,12169,1040,344,696,1.89,4371
"합계",동대문구,이문1동,10729,21380,10086,11294,17710,8705,9005,3670,1381,2289,1.65,3380
"합계",동대문구,이문2동,8596,19791,9504,10287,19184,9227,9957,607,277,330,2.23,4347
"합계",동대문구,청량리동,10131,19303,9462,9841,18668,9194,9474,635,268,367,1.84,5806
"합계",동대문구,용신동,21885,40362,19681,20681,38643,19052,19591,1719,629,1090,1.77,6816
"합계",동대문구,제기동,13034,25322,12588,12734,22899,11745,11154,2423,843,1580,1.76,5799
"합계",중랑구,소계,188664,386782,188839,197943,381126,186600,194526,5656,2239,3417,2.02,81160
"합계",중랑구,면목2동,12185,23805,11745,12060,23415,11594,11821,390,151,239,1.92,5185
"합계",중랑구,면목4동,8941,18364,9117,9247,18022,8973,9049,342,144,198,2.02,4186
"합계",중랑구,면목5동,6393,14611,7260,7351,14462,7208,7254,149,52,97,2.26,2615
"합계",중랑구,면목7동,10550,21456,10627,10829,21101,10493,10608,355,134,221,2.00,4803
"합계",중랑구,상봉1동,10088,23039,11164,11875,22881,11105,11776,158,59,99,2.27,4438
"합계",중랑구,상봉2동,12785,20996,9884,11112,20484,9679,10805,512,205,307,1.60,3349
"합계",중랑구,중화1동,8899,18768,9262,9506,18550,9177,9373,218,85,133,2.08,4149
"합계",중랑구,중화2동,13461,24136,12282,11854,23635,12082,11553,501,200,301,1.76,5513
"합계",중랑구,묵1동,14916,33670,15982,17688,33436,15891,17545,234,91,143,2.24,6593
"합계",중랑구,묵2동,9182,18302,8933,9369,17998,8814,9184,304,119,185,1.96,4021
"합계",중랑구,망우3동,8198,16021,7986,8035,15559,7800,7759,462,186,276,1.90,3819
