충전소명,주소,ID,충전기 형태,충전기 용량
(RS)대구시_유니버시아드 레포츠센터,"대구 북구 호국로57길 6(서변동, 유니버시아드) 지상1층 주차장",01,3Mode,50
(RS)대구시_유가읍 행정복지센터,"대구 달성군 유가읍 테크노상업로 95(봉리, 유가읍사무소) 유가읍행정복지센터",03,AC완속(싱글),7
(RS)대구시_유가읍 행정복지센터,"대구 달성군 유가읍 테크노상업로 95(봉리, 유가읍사무소) 유가읍행정복지센터",05,AC완속(싱글),7
(RS)대구시_유가읍 행정복지센터,"대구 달성군 유가읍 테크노상업로 95(봉리, 유가읍사무소) 유가읍행정복지센터",04,AC완속(싱글),7
(RS)대구시_유가읍 행정복지센터,"대구 달성군 유가읍 테크노상업로 95(봉리, 유가읍사무소) 유가읍행정복지센터",02,3Mode,50
(RS)대구시_유가읍 행정복지센터,"대구 달성군 유가읍 테크노상업로 95(봉리, 유가읍사무소) 유가읍행정복지센터",01,3Mode,50
(RS)대구시_월촌공원주차장,"대구 달서구 상인로 68-4(상인동, 월촌공원) 지상1층 주차장",01,3Mode,50
(RS)대구시_월촌공원주차장,"대구 달서구 상인로 68-4(상인동, 월촌공원) 지상1층 주차장",02,3Mode,50
(RS)대구시_월성2동행정복지센터,"대구 달서구 월성로 65(월성동, 월성2동행정복지센터) 지상1층 주차장",01,AC완속(싱글),7
(RS)대구시_월성1동행정복지센터,"대구 달서구 조암남로 97(월성동, 월성1동행정복지센터) 지상1층 주차장",01,AC완속(싱글),7
(RS)대구시_월광수변공원주차장,"대구광역시 달서구 도원동 928(도원동, 월광수변공원) 지상1층 주차장",01,3Mode,50
(RS)대구시_원대동 행정복지센터,"대구 서구 달서로 257(원대동3가, 원대동 행정복지센터) 지상1층 주차장",01,DC콤보(듀얼),100
(RS)대구시_운암지 공영주차장,"대구 북구 구암로 217(구암동, 운암지) 지상1층 주차장",01,3Mode,50
(RS)대구시_운암지 공영주차장,"대구 북구 구암로 217(구암동, 운암지) 지상1층 주차장",02,3Mode,50
(RS)대구시_용산2동행정복지센터,"대구 달서구 선원로 278(용산동, 용산2동행정복지센터) 지상1층 주차장",01,3Mode,50
(RS)대구시_용산1동행정복지센터,"대구 달서구 용산로 212-7(용산동, 용산1동행정복지센터) 지상1층 주차장",01,AC완속(싱글),7
(RS)대구시_외환들공영주차장,"대구 수성구 미술관로 40(삼덕동, 대구미술관) 지상1층 주차장",01,AC완속(싱글),7
